category,subcategory_1,type_1,material_1,region,owner,age,years_since_major_rehab,deck_length_m,span_count,order,value,abs_value,metric,n_train,n_test,seed
1,1,1,0,0,0,1,1,0,1,6,0.789431545236189,0.789431545236189,accuracy,3744,1249,42
1,0,1,1,1,0,1,1,0,1,7,0.7950360288230585,0.7950360288230585,accuracy,3744,1249,42
0,0,0,0,1,0,0,1,0,0,2,0.6453162530024019,0.6453162530024019,accuracy,3744,1249,42
0,1,1,0,0,0,1,1,1,1,6,0.7838270616493195,0.7838270616493195,accuracy,3744,1249,42
0,0,0,0,1,1,0,0,0,1,3,0.6349079263410728,0.6349079263410728,accuracy,3744,1249,42
1,0,0,0,0,0,1,0,0,1,3,0.7806244995996797,0.7806244995996797,accuracy,3744,1249,42
1,0,0,0,1,0,0,0,0,0,2,0.6236989591673339,0.6236989591673339,accuracy,3744,1249,42
0,1,1,0,0,0,0,0,0,0,2,0.6477181745396317,0.6477181745396317,accuracy,3744,1249,42
1,1,1,1,1,0,0,1,0,1,7,0.6949559647718174,0.6949559647718174,accuracy,3744,1249,42
1,0,0,1,0,0,1,0,0,0,3,0.7806244995996797,0.7806244995996797,accuracy,3744,1249,42
0,1,1,0,0,1,1,0,0,0,4,0.7806244995996797,0.7806244995996797,accuracy,3744,1249,42
0,1,1,0,1,0,1,1,1,0,6,0.7926341072858286,0.7926341072858286,accuracy,3744,1249,42
1,1,0,0,0,0,0,0,0,1,3,0.6293034427542034,0.6293034427542034,accuracy,3744,1249,42
1,0,1,1,1,0,1,1,1,1,8,0.7990392313851081,0.7990392313851081,accuracy,3744,1249,42
0,1,0,0,1,0,0,1,0,0,3,0.6565252201761409,0.6565252201761409,accuracy,3744,1249,42
0,1,1,1,0,1,1,0,1,1,7,0.7774219375500401,0.7774219375500401,accuracy,3744,1249,42
1,0,0,0,0,0,1,1,1,0,4,0.7830264211369096,0.7830264211369096,accuracy,3744,1249,42
1,0,1,0,0,1,0,0,0,1,4,0.6469175340272217,0.6469175340272217,accuracy,3744,1249,42
1,1,0,1,1,1,0,1,1,1,8,0.6845476381104884,0.6845476381104884,accuracy,3744,1249,42
1,1,0,1,0,1,1,1,1,1,8,0.7878302642113691,0.7878302642113691,accuracy,3744,1249,42
0,0,0,1,0,0,0,1,1,0,3,0.6493194555644516,0.6493194555644516,accuracy,3744,1249,42
