C1M_on,C2M_on,C3M_on,C4M_on,C5M_on,C6M_on,C7M_on,C8EV_on,E1_on,H3_on,H6M_on,V3_on,V4_on,order,value,abs_value,metric,n_train,coalition_id,class_id,k_selected,class_score_max,class_score_min,class_size
0,0,1,1,0,1,1,1,0,0,1,0,0,6,1.058,1.058,rt_mean_next_mean,1,C3M_on|C4M_on|C6M_on|C7M_on|C8EV_on|H6M_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,1,1,0,1,1,1,0,0,1,1,0,7,0.9107816180235536,0.9107816180235536,rt_mean_next_mean,3,C3M_on|C4M_on|C6M_on|C7M_on|C8EV_on|H6M_on|V3_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,1,1,0,1,1,1,0,0,1,1,1,8,0.6374193548387097,0.6374193548387097,rt_mean_next_mean,1,C3M_on|C4M_on|C6M_on|C7M_on|C8EV_on|H6M_on|V3_on|V4_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,1,1,0,1,1,1,1,1,1,1,0,9,0.7801111111111111,0.7801111111111111,rt_mean_next_mean,3,C3M_on|C4M_on|C6M_on|C7M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,1,1,1,0,0,1,0,1,1,1,0,7,0.8400286738351254,0.8400286738351254,rt_mean_next_mean,3,C3M_on|C4M_on|C5M_on|C8EV_on|H3_on|H6M_on|V3_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,1,1,1,0,0,1,1,0,1,1,0,7,0.4313333333333333,0.4313333333333333,rt_mean_next_mean,1,C3M_on|C4M_on|C5M_on|C8EV_on|E1_on|H6M_on|V3_on,2,10,0.4776003659528327,0.2309354838709677,25
0,0,1,1,1,0,0,1,1,1,1,0,0,7,0.8138709677419355,0.8138709677419355,rt_mean_next_mean,1,C3M_on|C4M_on|C5M_on|C8EV_on|E1_on|H3_on|H6M_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,1,1,1,0,1,1,0,0,1,1,0,7,0.624,0.624,rt_mean_next_mean,1,C3M_on|C4M_on|C5M_on|C7M_on|C8EV_on|H6M_on|V3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,1,1,1,0,1,1,0,1,1,0,0,7,0.9451612903225808,0.9451612903225808,rt_mean_next_mean,1,C3M_on|C4M_on|C5M_on|C7M_on|C8EV_on|H3_on|H6M_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,1,1,1,0,1,1,1,1,1,0,0,8,0.9461290322580644,0.9461290322580644,rt_mean_next_mean,1,C3M_on|C4M_on|C5M_on|C7M_on|C8EV_on|E1_on|H3_on|H6M_on,6,10,1.0068333333333332,0.9107816180235536,108
